time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574383802.70572,0.282743,92.7459,-0.0960181,0.0627436,0.0492877,193.706,,
1574383806.86172,0.329867,92.1104,-0.158542,0.165985,0.127684,215.385,,
1574383811.1734,0.371755,91.475,-0.147262,0.105222,0.0980467,237.65,,
1574383815.3349,0.39619,90.6738,-0.193527,0.160415,0.159381,258.844,,
1574383819.43469,0.418879,89.9002,-0.191954,0.139866,0.145211,,,
1574383823.65927,0.432842,88.9885,-0.216919,0.166607,0.171574,,,
1574383827.88046,0.434587,87.9939,-0.232871,0.178364,0.203148,,,
1574383831.96255,0.432842,87.0269,-0.237234,0.17231,0.224241,236.77,,
1574383836.04724,0.42586,85.9771,-0.252004,0.17174,0.275273,236.706,,
1574383840.34689,0.424115,84.872,-0.24629,0.141935,0.286561,255.96,0.6195,0.2065
1574383844.7731,0.431096,83.7945,-0.25697,0.139195,0.30514,,0.6195,0.2065
1574383848.99118,0.45204,82.6065,-0.272037,0.142126,0.309326,,0.6195,0.2065
1574383853.19888,0.457276,81.5567,-0.259542,0.134048,0.27873,,0.6195,0.2065
1574383857.40451,0.459022,80.3411,-0.285825,0.171042,0.310365,256.343,0.6195,0.2065
1574383861.77347,0.462512,78.8492,-0.339761,0.224538,0.390848,256.394,0.6195,0.2065
1574383865.98883,0.450295,77.7164,-0.267975,0.148143,0.297918,256.215,0.6195,0.2065
1574383870.20667,0.445059,76.4732,-0.294747,0.184845,0.342896,256.062,0.6195,0.2065
1574383874.42133,0.450295,75.3128,-0.273993,0.171453,0.29459,255.96,0.6195,0.2065
1574383878.79141,0.44855,73.9591,-0.300633,0.165334,0.365038,255.896,0.6195,0.2065
1574383883.0098,0.45204,72.7159,-0.294887,0.167943,0.344508,255.794,0.6195,0.2065
1574383887.38129,0.446804,71.445,-0.290484,0.176272,0.336211,255.743,,
1574383891.5936,0.466003,70.0636,-0.340241,0.261646,0.355407,255.68,3.67836,0.5782
1574383895.96817,0.455531,68.5717,-0.343279,0.306957,0.340634,255.654,3.15288,0.4956
1574383900.18524,0.450295,66.9969,-0.373257,0.375382,0.362877,255.514,3.15288,0.4956
1574383904.39893,0.453786,65.3945,-0.367102,0.388205,0.321001,255.488,3.15288,0.4956
1574383908.61404,0.450295,63.8198,-0.389988,0.44559,0.327183,255.514,3.15288,0.4956
1574383912.97794,0.450295,62.0516,-0.38895,0.444743,0.324968,255.475,3.15288,0.4956
1574383917.19092,0.457276,60.3663,-0.41684,0.466537,0.364406,255.45,3.15288,0.4956
1574383921.40607,0.457276,58.6258,-0.412059,0.44351,0.378901,255.437,3.41562,0.5369
1574383925.62131,0.455531,56.9129,-0.406964,0.445931,0.365379,255.322,3.15288,0.4956
1574383929.98929,0.460767,55.1999,-0.38921,0.419133,0.331203,255.386,3.41562,0.5369
1574383934.20566,0.459022,53.5423,-0.393275,0.428199,0.336597,255.297,,
1574383938.42471,0.453786,51.8018,-0.412841,0.471124,0.355957,255.22,5.23247,0.6608
1574383942.64087,0.462512,49.9783,-0.432398,0.489056,0.367631,255.348,5.23247,0.6608
1574383947.01352,0.460767,47.9339,-0.466661,0.533862,0.419876,255.195,5.23247,0.6608
1574383951.38477,0.460767,46.221,-0.39296,0.418417,0.343494,255.233,5.23247,0.6608
1574383955.59805,0.462512,44.4528,-0.419793,0.457034,0.370754,255.207,5.22919,0.6608
1574383959.8154,0.466003,42.3807,-0.49335,0.548212,0.464904,255.156,5.55601,0.7021
1574383964.18219,0.460767,40.4468,-0.442547,0.467234,0.429896,255.131,5.55601,0.7021
1574383968.39459,0.467748,38.5129,-0.46046,0.466846,0.460719,255.08,5.22919,0.6608
1574383972.60434,0.47473,36.5237,-0.472716,0.466591,0.474619,255.105,5.22919,0.6608
1574383976.81308,0.464258,34.6726,-0.438845,0.441219,0.438989,255.144,5.22919,0.6608
1574383981.1803,0.45204,32.6835,-0.454879,0.466779,0.489267,255.003,,
1574383985.39053,0.457276,30.8048,-0.446985,0.458866,0.461293,255.054,5.17096,0.6608
1574383989.60474,0.469494,28.9814,-0.432295,0.42645,0.423443,255.042,5.17096,0.6608
1574383993.81851,0.453786,27.0474,-0.456547,0.511689,0.43879,255.042,5.49414,0.7021
1574383998.1886,0.446804,25.1687,-0.426875,0.46332,0.428374,255.067,5.17096,0.6608
1574384002.40488,0.457276,23.4835,-0.404145,0.40074,0.405095,255.003,5.17096,0.6608
1574384006.6217,0.464258,21.5772,-0.45141,0.458344,0.454846,255.042,5.17096,0.6608
1574384010.83383,0.466003,19.7537,-0.433014,0.427219,0.433574,254.991,5.17096,0.6608
1574384015.20807,0.460767,17.7645,-0.453221,0.45657,0.471201,254.991,5.17096,0.6608
1574384019.42014,0.459022,15.8859,-0.445501,0.468103,0.442181,254.991,5.17074,0.6608
1574384023.63718,0.459022,14.0072,-0.449337,0.446573,0.475787,254.965,5.17074,0.6608
1574384027.84787,0.44855,12.239,-0.420892,0.429566,0.44346,254.965,,
1574384032.21915,0.453786,10.3327,-0.434634,0.444585,0.451843,254.991,5.06443,0.6608
1574384036.43179,0.453786,8.5093,-0.433117,0.396758,0.49472,255.003,5.06443,0.6608
1574384040.64163,0.459022,6.38198,-0.450132,0.442501,0.482037,254.786,0.0,0.0
1574384044.93011,0.462512,4.25465,-0.43011,0.397552,0.464642,242.167,,
1574384049.24405,0.315905,3.12192,-0.364691,0.595482,0.49938,229.497,,
1574384053.47021,0.237365,2.12733,-0.216923,0.468723,0.23828,220.756,,
1574384057.86761,0.122173,1.49189,-0.147433,0.294356,0.117416,207.754,,
1574384062.14191,0.0226893,1.43664,-0.0129951,0.0405442,-0.0169134,196.921,,
1574384066.62341,-0.0174533,1.13273,-0.0672353,-0.151221,-0.109616,185.999,,
1574384070.91318,-0.0279253,1.02222,-0.026862,-0.151221,-0.109616,174.834,,
1574384075.23676,-0.0436332,1.02222,0.0,-0.151221,-0.109616,164.576,,
1574384079.68631,-0.0785398,0.939338,-0.0188584,-0.151221,-0.109616,153.717,,
1574384084.11737,-0.0977384,0.856456,-0.0192081,-0.151221,-0.109616,142.871,,
1574384088.38681,-0.10472,0.884083,0.00654063,-0.151221,-0.109616,132.472,,
1574384092.64865,-0.120428,0.745945,-0.0312388,-0.151221,-0.109616,122.494,,
1574384096.92447,-0.169297,0.497297,-0.0579465,-0.151221,-0.109616,112.363,,
1574384101.39832,-0.218166,0.359159,-0.0319394,-0.249292,-0.215153,102.13,,
1574384105.74432,-0.204204,0.248648,-0.0243576,-0.231436,-0.195637,92.7898,,
1574384110.02325,-0.188496,0.0,-0.0602346,0.198607,0.30435,83.5007,,
1574384114.29507,-0.195477,0.0,0.0,-0.0211342,0.0810836,74.5945,,
1574384118.75854,-0.202458,0.0,0.0,-0.151221,-0.109616,65.5989,,
1574384123.06824,-0.228638,0.0,0.0,-0.151221,-0.109616,57.5986,,
